name,address,desc,price
Ravenswood Winery,"18701 Gehricke Road, Sonoma CA 95476","Taste indoors with knowledgeable staff, or enjoy amazing vineyard views while you taste wine out on the patio. You can purchase charcuterie and wines by the glass to make a picnic of your visit.",No price data available
Red Car Wine Co,"8400 Graton Rd., Sebastopol CA 95472",This chic tasting room includes classy furniture and jewelry and gifts for purchase. Let your palate explore their portfolio that has earned its reputation and be sure to try the rosé.,No price data available
Repris Wines,"1700 Moon Mountain Road, Sonoma CA 95476","Schedule a tour and get the full winery experience at Repris. Explore the caves, ride ATVs through the vineyards to taste grapes fresh off the vine, and end at the air-conditioned tasting room. Top it off with cheese, great views, and of course, wine.",No price data available
Ridge Vineyards - Lytton Springs,"650 Lytton Springs Road, Healdsburg CA 95448","The beautiful grounds and knowledgeable sommeliers welcome you to visit for a tasting. Sit in the comfy chairs outside and enjoy the views, or venture indoors and taste wines that are available only at the winery as well as those that are distributed nati",No price data available
Rio Crest Wines,"15460 Morningside Drive, Guerneville CA 95446",This small production winery produces wines that are only available through their member list and at some local restaurants. Schedule your tasting appointment for a personalized experience with cheese pairings.,No price data available
River Road Vineyards,"5220 Ross Road, Sebastopol CA 95472","Quality is the top priority at this winery. Originally family owned, River Road Vineyards was purchased in 2011 by The Republic of Tea founder, Ron Rubin. Tastings are available by appointment.",No price data available
Roadhouse Winery,"240 Center St, Healdsburg CA 95448",Pinot lovers will be delighted by this cozy tasting room located off the Square in Healdsburg. You’ll enjoy the company of the friendly locals who are passionate about their winery.,No price data available
Robert Young Estate Winery,"5102 Red Winery Road, Geyserville CA 95441",This intimate winery presents a small tasting bar with a friendly pourer who will share the history of the farm and information about the winemaking process. Tasting fees are refundable with purchase.,No price data available
Robledo Family Winery,"21901 Bonness Road, Sonoma CA 95476","With an exquisite ‘American Dream’ story behind it, this winery welcomes you to the table to taste wines and be treated like family. The charming atmosphere and engaging conversation are sure to win you over.",No price data available
Roche Winery,"122 West Spain St., Sonoma CA 95476","With a great location off the Square, this tasting room might be bustling during peak hours. Choose your flight and relax on the outdoor patio by the fire pit or come inside for barrel tastings.",No price data available
Rochioli Vineyards and Winery,"6192 Westside Road, Healdsburg CA 95448","With three generations of dedication to the land, Rochioli Vineyards and Winery has earned the reputation as one of Sonoma County's finest wineries.",No price data available
Rodney Strong Vineyards,"11455 Old Redwood Highway, Healdsburg CA 95448","Just south of Healdsburg, our winery & tasting room are nestled in the sweeping vineyards of Russian River Valley. Join us to experience Sonoma County – taste our delicious wines, take a tour or join us for an event!",No price data available
Roger Roessler Wines,"654 Broadway, Sonoma CA 95476","R2 gets its name from its founders, brothers Roger and Richard. The quaint, classy tasting room is located just a block off the Sonoma Plaza and welcomes you for a tasting, a glass of wine, or a bottle.",No price data available
Ross Road Custom Crush,"4950 Ross Rd, Sebastopol CA 95472","Aspiring and established winemakers alike can call on Ross Road for assistance in all areas of the winemaking process. This business helps with wine making, storage, and bottling.",No price data available
Route 128 Vineyards & Winery,"21079 Geyserville Avenue, Geyserville CA 95441","Visit this newly remodeled tasting room and enjoy the company of the owners, play shuffleboard, and taste delicious, reasonably priced wines.",No price data available
Rued Vineyards,"3850 Dry Creek Road, Healdsburg CA 95448","This no-frills winery has a modern feel and is surrounded by rows of vines. Choose from a classic tasting, private tour and tasting, or bring a picnic to enjoy on the patio.",No price data available
Russian Hill Estate Winery,"4525 Slusser Road, Windsor CA 95492",Bring a picnic lunch to this winery located at the top of a hill to enjoy panoramic vineyard views from the tables on the patio. The quiet tasting room is open daily.,No price data available
Russian River Vineyards,"5700 Gravenstein Highway North, Forestville CA 95436",This charming winery has a restaurant attached and serves their wines as well as others. Dine on food made with local ingredients and taste wines at the same time. Tasting fees are waived with bottle purchase.,No price data available
Sable Ridge Vineyards,"6320 Jamison Road, Santa Rosa CA 95404","This small production winery, best known for its Estate Syrah, was founded in 1995. Grapes are sourced from their estate vineyard in Bennett Valley as well as Lodi, Sonoma Valley, Alexander Valley, and Russian River Valley.",No price data available
Saini Vineyards,"2525 Dry Creek Road, Healdsburg CA 95448",For over 90 years the Saini Family has been farming grapes in Sonoma County's Dry Creek and Alexander Valleys. The vineyards are some of the most highly regarded in all of California.,No price data available
Saltonstall Estate,"2805 Spring Hill Rd, Petaluma CA 94952","Visit the beautiful estate to taste their Pinot Noir and organic olive oils, stroll around the lake, and enjoy a picnic. Be sure to make an appointment.",No price data available
Sanglier Cellars Tasting Room,"132 Plaza St, Healdsburg CA 95448",This bright and clean tasting room is located just off the Square. Visit for a taste of the incredible array of different wines of this small production winery.,No price data available
Sapphire Hill Winery,"51 Front Street, Healdsburg CA 95425","Plan a special night out and visit for the five-course food and wine pairing for seasonal, delicious food, excellent wines, and enthusiastic, engaging service.",No price data available
Saxon Brown Wines,"255 West Napa Street, Sonoma CA 95476","Jeff Gaffner, owner and winemaker of Saxon Brown, celebrates his favorite vineyard sites with small bottlings. He is passionate about all aspects of the winemaking process and consults for artisan labels.",No price data available
Sbragia Family Vineyards,"9990 Dry Creek Rd, Geyserville CA 95441","Perched atop a hill, this winery features stunning valley views and open space for picnics. Visit for a personalized tasting or one of their special events.",No price data available
Scherrer Winery,"4940 Ross Road, Sebastopol CA 95472","This family-run winery provides a complete, elegant and sophisticated tasting experience. A little difficult to find, your visit is well worth it for the stories, education, and a personalized experience tasting delicious wines. Appointment only.",No price data available
Schug Carneros Estate Winery,"602 Bonneau Road, Sonoma CA 95476","Take a self-guided tour of the vineyard or enjoy a personalized tasting experience with bread, cheeses, and a peek into the wine caves. You’ll find live music outdoors during Spring and Summer.",No price data available
Scribe Winery,"2300 Napa Rd, Sonoma CA 95476","Make an appointment to visit this relaxing winery with a view. You’ll enjoy a laid back vibe, charcuterie to accompany your tasting, and dogs wandering the property and greeting visitors.",No price data available
Seasons of the Vineyard Tasting Bar and Boutique,"113 Plaza St, Healdsburg CA 95448","Enter this modern, spacious tasting room and gift shop for a pleasant tasting experience with friendly staff, unique décor and exquisite gifts.",No price data available
Sebastiani Vineyards & Winery,"389 East Fourth Street, Sonoma CA 95476",This beautiful winery has an outside grassy area that is dog and kid-friendly. Visit the spacious tasting room or relax on the patio and enjoy the music and food trucks on Fridays.,No price data available
Selby Winery Tasting Room,"215 Center St, Healdsburg CA 95448","Enjoy drinkable, reasonably priced wines at this quaint, no-frills tasting room on the Square. The friendly and approachable staff will provide a great time and share the story behind the winery.",No price data available
Sheldon Wines,"1301 Cleveland Ave, Santa Rosa CA 95401",,No price data available
Siduri,"981 Airway Court, Suite E & F, Santa Rosa CA 95403","If you're a Pinot noir lover, this is a must-stop.",No price data available
Silver Oak Cellars,"7300 Hwy 128, Healdsburg CA 95448",,No price data available
Simi Winery,"16275 Healdsburg Avenue, Healdsburg CA 95448","Redwood, port, and cork trees provide a bucolic setting for a Wine Country wedding, and the railroad tracks running down the property lend a unique feel. The event coordinator and event staff offer personal attention, and guests are sure to enjoy Simi's r",No price data available
Simon Levi Cellars,"9380 Sonoma Highway, Kenwood CA 95476",,No price data available
Skewis Wines,"57 Front Street, Healdsburg CA 95448",,No price data available
Skipstone,"2505 Geysers Rd, Geyserville CA 95441","Skipstone’s organic estate vineyard produces highly acclaimed wines, crafted by famed winemaker Philippe Melka. Skipstone offers private tours and tastings of our wines by prior appointment.",No price data available
Small Vines Viticulture,"2160 Green Hill Rd, Sebastopol CA 95472",,No price data available
Soda Rock Winery,"8015 Highway 128, Healdsburg CA 95448",,No price data available
Sojourn Cellars,"141 East Napa Street, Sonoma CA 95476","Sojourn Cellars is a highly acclaimed winery crafting Pinot noir, Chardonnay and Cabernet Sauvignon, and specializing in single vineyard Pinot noir from the Sonoma Coast.",No price data available
Sonoma Aperitif,"111 Goodwin Ave, Penngrove CA 94951",,No price data available
Sonoma Coast Vineyards,"555 S Hwy 1, Bodega Bay CA 94923","After a hike at Bodega Head, reward yourself with a visit to Sonoma Coast Vineyards' tasting room at Bodega Bay. The wine bar offers a patio area with incredible views of the bay, and a flight with several Pinot Noir selections.",No price data available
Sonoma Fine Wine,"3625 Main Street, Occidental CA 95465",,No price data available
Sonoma Portworks,"613 2nd St, Petaluma CA 94952",This beautiful old ranch is truly a sight to behold for rose lovers. The best times to view the roses in bloom is early May through October.,No price data available
Sonoma Wine Shop,"412 1st St E, Sonoma CA 95476",,No price data available
Sophie's Cellars,"25179 Hwy 116, Duncans Mills CA 95430",,No price data available
Spann Vineyards,"111-A East Napa St., Sonoma CA 95476",,No price data available
Spicy Vines Tasting Room,"441 Healdsburg Ave., Healdsburg CA 95448","Our tasting room features award-winning and spiced wines, wine cocktails, and small bites. Attend our live music every Saturday and events for an elate experience.",No price data available
Square Peg Winery,"4728 Stoetz Lane, Sebastopol CA 95472",Estate Tasting Room & Art Gallery featuring dry farmed Pinot Noir and Zinfandel.,No price data available
St. Anne's Crossing,"8450 Sonoma Hwy, Kenwood CA 95452",,No price data available
Starlite Vineyards,"5511 Hwy 128, Geyserville CA 95441",,No price data available
Stephen & Walker Winery,"243 Healdsburg Ave, Healdsburg CA 95448",,No price data available
Stone Edge Farm Estate Winery,"21692 8th St E #110, Sonoma CA 95476",,No price data available
Stonestreet Winery,"7111 Highway 128, Healdsburg CA 95448",Stonestreet stands as one of the most extensive mountain estates in the world.,No price data available
Stonestreet Wines-Healdsburg Tasting Room,"337 Healdsburg Ave, Healdsburg CA 95448",Stonestreet stands as one of the most extensive mountain estates in the world.,No price data available
Stryker Sonoma Winery,"5110 Highway 128, Geyserville CA 95441","Stryker Sonoma wines mix old-world tradition and modern technology to allow for gentler handling of both fruit and wine.The Vineyards produce 4,000 to 6,000 cases annually from the following varietals: Cabernet Sauvignon, Cabernet Franc, Merlot, Petit Ver",No price data available
Stubbs Vineyard,"1000 Marshall Petaluma Rd, Petaluma CA 94952","Stubbs Vineyards produces small quantities of cool climate handcrafted Pinot Noir and Chardonnay wines in the Burgundian style, made from their estate grown Marin County fruit.",No price data available
Stuhlmuller Vineyards,"4951 West Soda Rock Lane, Healdsburg CA 95448",,No price data available
Sunce Winery,"1839 Olivet Road, Santa Rosa CA 95401",,No price data available
Taft Street Winery,"2030 Barlow Lane, Sebastopol CA 95472",,No price data available
Talisman Wine,"13651 Arnold Drive, Glen Ellen CA 95442",,No price data available
Talty Vineyards & Winery,"7127 Dry Creek Road, Healdsburg CA 95448",,No price data available
Tara Bella Winery & Vineyards,"3701 Viking Road, Santa Rosa CA 95401",,No price data available
Tasting Room on the Green,"9050 Windsor Road, Windsor CA 95492",,No price data available
Ten Acre Winery,"9711 West Dry Creek Road, Healdsburg CA 95448",,No price data available
The Rubin Family of Wines,"5220 Ross Road, Sebastopol CA 95472",Book a private tour of this Green Valley winery and you’ll see how its sandy soils and foggy clime together produce some award-winning Pinot Noirs. You can also have fun with their Un-Oaked (and unpretentious) Chardonnays—big on fruit with no oak allowed.,No price data available
Thomas George Estates,"8075 Westside Road, Healdsburg CA 95448","Dubbed to have the best Pinot Noir in town, Thomas George nestled between vine covered hills, where every view is breathtaking. The winery offers wine tours and tasting in the cave and are open for sales and tasting from 11am–5pm daily.",No price data available
Three Sticks Wines,"143 West Spain, Sonoma CA 95476","This rolling 135-acre parcel spans the Sonoma Valley, Sonoma Coast and Carneros AVAs, and is often named one of the top 5 vineyards in Sonoma County.",No price data available
Thumbprint Cellars,"102 Matheson St., Healdsburg CA 95448","Let your expectations be exceeded with Thumbprint's true epicurean delights. Taste wines alongside charcuterie and local artisan cheeses by some of Sonoma County's finest producers. Stop by for a visit, no appointments are necessary.",No price data available
Tin Barn Vineyards,"21692 Eighth Street East, Unit 340, Sonoma CA 95476",,No price data available
Toad Hollow Vineyards,"4024 Westside Road, Healdsburg CA 95448","After more than 15 years of city life in our Healdsburg tasting room, we’re moving back to the Ranch! Navigating through the tasting room permitting process in Sonoma County can be long and arduous. We appreciate your patience while we make this change.",No price data available
Trattore Estate Wines and Dry Creek Olive Company,"7878 Dry Creek Road, Geyserville CA 95441","Take in stunning views atop a steep knoll surrounded by vineyards and olive orchards. Relax on the spacious patio - taste wines, olive oils, and charcuterie.",No price data available
Trecini Winery,"441 Beaver Street, Santa Rosa CA 95404","Trecini, a boutique winery, where the wines possess lower alcohol content, allowing for true varietal and softer undertones. Discerning wine drinkers can see and taste the care that goes into each wine.",No price data available
Trentadue Winery,"19170 Geyserville Avenue, Geyserville CA 95441","Walk through the outdoor patio beneath the beautiful vine covered trellis to the small tasting room to try the varietals including a chocolate port. With its ethereal scenery, this property hosts weddings and events.",No price data available
Trione Vineyards & Winery,"19550 Geyserville Avenue, Geyserville CA 95441","Taste and discover the craftsmanship of our small lots wine sourced from our estate grapes. While here, take a tour of our historical grounds, stay and play a little bocce, and enjoy a picnic with a view!",No price data available
Truett Hurst Winery,"5610 Dry Creek Rd, Healdsburg CA 95448","Nestled right along Dry Creek in Healdsburg, this scenic winery not only boasts an impressive selection of delectable wines but also has a rustic feel with goats and sheep on the property. Relax and sip on some wine in plush chairs down by the creek.",No price data available
Two Amigos - GlenLyon Tasting Room,"25 E. Napa St #D, Sonoma CA 95476",,No price data available
Two Pisces Vineyard,"2847 D Street, Petaluma CA 94952",,No price data available
Two Shepherds,"7763 Bell Road, Windsor CA 95492",,No price data available
Twomey Cellars,"3000 Westside Rd., Healdsburg CA 95448",,No price data available
Ty Caton Vineyards,"8910 Sonoma Highway 12, Kenwood CA 95452",,No price data available
Tyge Williams Cellars,"144 West Napa Street, Sonoma CA 95476","Small scale production. Small vineyard parcels on the lushest lands. Tyge crafts their wines with an old-world intricacy that renders flavors bold and unforgettable, with tastes that bring to mind distant places and the memories to go with them.",No price data available
Unti Vineyards,"4202 Dry Creek Road, Healdsburg CA 95448",,No price data available
UPTick Vineyards,"779 Westside Rd, Healdsburg CA 95448","Each of UPTick’s wine selections are hand crafted with limited production. Enjoy vineyard views and excellent service, and experience the taste of Healdsburg's wine varieties. Property is dog friendly.",No price data available
Valdez Family Winery,"113 Mill Street, Healdsburg CA 95448",,No price data available
Verite Winery,"4611 Thomas Road, Healdsburg CA 95448",,No price data available
View Wines,"1697 Warm Springs Rd., Glen Ellen CA 95442",,No price data available
Vineyard of Pasterick,"3491 West Dry Creek Road, Healdsburg CA 95448",,No price data available
Vintage Wine Estates,"308 B Center Street (on the town square), Healdsburg CA 95448",,No price data available
Virginia Dare Winery,"22281 Chianti Rd, Geyserville CA 95425",,No price data available
Viszlay Vineyards,"851 Limerick Lane, Healdsburg CA 95448",,No price data available
VJB Vineyards & Cellars,"60 Shaw Ave., Kenwood CA 95452",Spend time enjoying great wines that blend Old World tradition with New World innovation.,No price data available
Wattle Creek Winery,"25510 River Road, Cloverdale CA 95425",The Wattle Creek family strives to produce beautifully crafted estate wines that they are proud to serve and enjoy.,No price data available
Wellington Vineyards,"11600 Dunbar Road, Glen Ellen CA 95442",,No price data available
West Wines,"1000 Dry Creek Road, Healdsburg CA 94558","Enjoy well aged Cabernet Sauvignon, crisp whites and many more exquisite wines in the Tasting Room overlooking our vineyards. Bring a picnic or join a vineyard hike.",No price data available
Westerhold Family Vineyards,"4949 Grange Rd, Santa Rosa CA 95404",,No price data available
Westwood Wine,"11 East Napa Street, #3, Sonoma CA 95476",,No price data available
White Oak Vineyards & Winery,"7431 Hwy 128, Healdsburg CA 95448",,No price data available
Wild Hog Vineyard,"30904 Bohan Dillon Rd., Cazadero CA 95421","Wild Hog Vineyard is a small family owned and operated winery and vineyard in the hills between Cazadero and Fort Ross on the Sonoma Coast.The climate of the coastal range, in conjunction with their farming practices, helps to produce intense flavorful gr",No price data available
Williams Selyem Winery,"7227 Westside Road, Healdsburg CA 95448",,No price data available
Wilson Winery,"1960 Dry Creek Road, Healdsburg CA 95448",,No price data available
Wind Gap Wines,"6780 McKinley St #170, Sebastopol CA 95472",Wind Gap Wines offer a weekly tasting flights of our various releases as well as wines by the glass and carafe for your enjoyment.,No price data available
Windsor Tasting Lounge,"9000 Windsor Rd, Ste B, Windsor CA 95492",,No price data available
Windsor Vineyards,"205 Concourse Blvd., Santa Rosa CA 95403",,No price data available
Windsor Vineyards Tasting Room,"308 B Center St, Healdsburg CA 95448",,No price data available
Wine Guerrilla,"6671 Front St, Forestville CA 95436","Sourcing from 3 different appellations and over 10 different vineyards,Wine Guerrilla is proud to represent the iconic California grape, Zinfandel.",No price data available
Wine Spectrum,"3510 Unocal Pl, Santa Rosa CA 95403",,No price data available
Woodenhead Vintners,"5700 River Road, Santa Rosa CA 95401",,No price data available
Yoakim Bridge Vineyards & Winery,"7209 Dry Creek Road, Healdsburg CA 95448",,No price data available
Zialena Winery,"21112 River Road, Geyserville CA 95441",,No price data available
Zichichi Vineyard,"8626 West Dry Creek Road, Healdsburg CA 95448",,No price data available
Zina Hyde Cunningham Tasting Room,"480 First Street East, Sonoma CA 95476",Visit The Zina Lounge on the historic Sonoma Plaza for a tasting of world-class Pinot Noir from Anderson Valley and other sought-after limited production Zina Hyde Cunningham wines.,No price data available
